Category,Item,Price (JPY),Range Low (JPY),Range High (JPY)
Restaurants,Meal at an Inexpensive Restaurant,1250.00,1100.00,1500.00
Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",8000.00,6000.00,14000.00
Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),850.00,750.00,950.00
Restaurants,Domestic Draft Beer (0.5 Liter),420.00,240.00,600.00
Restaurants,Imported Beer (0.33 Liter Bottle),450.00,300.00,600.00
Restaurants,Cappuccino (Regular Size),537.50,150.00,700.00
Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",157.25,129.00,200.00
Restaurants,Bottled Water (0.33 Liter),108.33,100.00,130.00
Markets,"Milk (Regular, 1 Liter)",249.67,200.00,300.00
Markets,Fresh White Bread (500 g Loaf),273.11,120.00,450.00
Markets,White Rice (1 kg),1000.00,750.00,1300.00
Markets,"Eggs (12, Large Size)",356.87,288.00,396.00
Markets,Local Cheese (1 kg),2662.18,1524.36,3800.00
Markets,Chicken Fillets (1 kg),863.27,800.00,989.80
Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),3000.00,,
Markets,Apples (1 kg),575.00,400.00,750.00
Markets,Bananas (1 kg),225.00,200.00,250.00
Markets,Oranges (1 kg),450.00,200.00,700.00
Markets,Tomatoes (1 kg),527.00,464.00,590.00
Markets,Potatoes (1 kg),375.00,350.00,400.00
Markets,Onions (1 kg),464.63,250.00,593.88
Markets,Lettuce (1 Head),141.67,125.00,150.00
Markets,Bottled Water (1.5 Liter),133.33,100.00,200.00
Markets,Bottle of Wine (Mid-Range),1000.00,1000.00,1500.00
Markets,Domestic Beer (0.5 Liter Bottle),275.76,227.27,300.00
Markets,Imported Beer (0.33 Liter Bottle),300.00,300.00,300.00
Markets,"Cigarettes (Pack of 20, Marlboro)",620.00,600.00,620.00
Transportation,One-Way Ticket (Local Transport),280.00,210.00,520.00
Transportation,Monthly Public Transport Pass (Regular Price),6085.00,4000.00,8170.00
Transportation,Taxi Start (Standard Tariff),670.00,580.00,670.00
Transportation,Taxi 1 km (Standard Tariff),325.00,320.00,670.00
Transportation,Taxi 1 Hour Waiting (Standard Tariff),2825.00,2450.00,3200.00
Transportation,Gasoline (1 Liter),174.60,173.50,182.00
Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),3434000.00,3342000.00,3434000.00
Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),2765840.00,2450000.00,4200000.00
Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",31285.98,24727.27,35416.67
Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",3920.20,3000.00,5000.00
Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",5155.00,4620.00,6500.00
Sports And Leisure,Monthly Fitness Club Membership,8500.00,3000.00,10000.00
Sports And Leisure,"Tennis Court Rental (1 Hour, Weekend)",500.00,,
Sports And Leisure,Cinema Ticket (International Release),2000.00,1500.00,2500.00
Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",20000.00,,
Childcare,"International Primary School, Annual Tuition per Child",1925500.00,1750000.00,2296300.00
Clothing And Shoes,Jeans (Levi's 501 or Similar),8000.00,3000.00,10000.00
Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),5231.67,,
Clothing And Shoes,Nike Running Shoes (Mid-Range),10500.00,8000.00,12000.00
Clothing And Shoes,Men's Leather Business Shoes,8750.00,7500.00,10000.00
Rent Per Month,1 Bedroom Apartment in City Centre,84278.00,70000.00,100000.00
Rent Per Month,1 Bedroom Apartment Outside of City Centre,52100.00,42000.00,59300.00
Rent Per Month,3 Bedroom Apartment in City Centre,166666.67,110000.00,270000.00
Rent Per Month,3 Bedroom Apartment Outside of City Centre,106666.67,90000.00,115000.00
Buy Apartment Price,Price per Square Meter to Buy Apartment in City Centre,1013866.67,785000.00,1356600.00
Buy Apartment Price,Price per Square Meter to Buy Apartment Outside of Centre,428666.67,328000.00,560000.00
Salaries And Financing,Average Monthly Net Salary (After Tax),249389.76,,
Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",1.86,1.00,2.45
